name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
			PurchaseOfPPE,,"-1,127,686,000","-1,706,787,000","-2,643,964,000","-1,113,893,000","-654,455,000"
			SaleOfPPE,,"163,072,000",,,,
		NetBusinessPurchaseAndSale,,"-250,826,000","45,153,000","-110,900,000","-79,878,000","0"
			PurchaseOfBusiness,,"-250,826,000","-31,500,000","-110,900,000","-79,878,000","0"
			SaleOfBusiness,,"0","76,653,000",,,
		NetInvestmentPurchaseAndSale,,"-3,855,620,000","5,043,703,000","-5,154,703,000","3,498,000","772,298,000"
			PurchaseOfInvestment,,"-7,594,110,000","-2,202,762,000","-8,090,703,000","-1,337,413,000","-2,346,261,000"
			SaleOfInvestment,,"3,738,490,000","7,246,465,000","2,936,000,000","1,340,911,000","3,118,559,000"
		NetOtherInvestingChanges,,,,"-31,276,000",,
FinancingCashFlow,,"41,357,435,000","3,094,953,000","11,603,092,000","12,867,334,000","2,292,704,000"
	CashFlowFromContinuingFinancingActivities,,"41,357,435,000","3,094,953,000","11,603,092,000","12,867,334,000","2,292,704,000"
		NetIssuancePaymentsOfDebt,,"3,677,450,000","3,044,163,000","2,631,119,000","621,299,000","37,500,000"
			NetLongTermDebtIssuance,,"3,677,450,000","3,044,163,000","2,631,119,000","621,299,000","37,500,000"
				LongTermDebtIssuance,,"4,970,591,000","5,699,037,000","2,751,324,000","946,312,000","37,500,000"
				LongTermDebtPayments,,"-1,293,141,000","-2,654,874,000","-120,205,000","-325,013,000","0"
			NetShortTermDebtIssuance,,"640,651,000",,,,
				ShortTermDebtIssuance,,"1,605,464,000",,,,
				ShortTermDebtPayments,,"-964,813,000",,,,
		NetCommonStockIssuance,,"34,607,139,000","0","7,523,547,000","0","-8,408,000"
			CommonStockIssuance,,"34,607,139,000","0","7,531,037,000",,"0"
			CommonStockPayments,,"0","0","-7,490,000","0","-8,408,000"
		NetPreferredStockIssuance,,"0","0","78,651,000","12,226,452,000","2,263,612,000"
			PreferredStockIssuance,,"0","0","78,651,000","12,226,452,000","2,263,612,000"
			PreferredStockPayments,,"0","0","-7,490,000",,"0"
		ProceedsFromStockOptionExercised,,"154,861,000","50,790,000","42,251,000","6,207,000","0"
		NetOtherFinancingCharges,,"2,917,985,000",,"1,327,524,000","13,376,000",
EndCashPosition,,"38,545,098,000","989,869,000","3,224,387,000","7,530,853,000","596,631,000"
	ChangesInCash,,"38,237,269,000","-2,244,684,000","-4,249,519,000","7,102,342,000","208,983,000"
	EffectOfExchangeRateChanges,,"-682,040,000","10,166,000","-56,947,000","-168,120,000","40,539,000"
	BeginningCashPosition,,"989,869,000","3,224,387,000","7,530,853,000","596,631,000","347,109,000"
IncomeTaxPaidSupplementalData,,"13,172,000","18,189,000","11,157,000","1,129,000","0"
InterestPaidSupplementalData,,"333,877,000","260,377,000","112,682,000","15,434,000","55,000"
CapitalExpenditure,,"-1,127,686,000","-1,706,787,000","-2,643,964,000","-1,113,893,000","-654,455,000"
IssuanceOfCapitalStock,,"34,607,139,000","0","7,609,688,000","12,226,452,000","2,263,612,000"
IssuanceOfDebt,,"4,970,591,000","5,699,037,000","2,751,324,000","946,312,000","37,500,000"
RepaymentOfDebt,,"-1,293,141,000","-2,654,874,000","-120,205,000","-325,013,000","0"
RepurchaseOfCapitalStock,,"0","0","-7,490,000","0","-8,408,000"
FreeCashFlow,,"823,208,000","-10,428,493,000","-10,555,732,000","-5,688,612,000","-2,856,019,000"
